,Time,Company Name,Current Ratio,Quick Ratio,Interest Expense Ratio,Debt Ratio,Equity to Assets,Long and Short-term Loans,Interest Coverage Ratio,Working Capital,Dividend Payout Ratio,Total Asset Turnover,Average Collection Days,Inventory Turnover (times),Fixed Asset Turnover,Free Cash Flow (D),Number of Employees,Operating Expense Ratio,Labor Cost Ratio,R&D Expense Ratio,Bad Debt Expense Ratio,Operating Leverage,Financial Leverage,Cash Dividend Rate,Tobins Q,Cash Flow Ratio,Interest-bearing Debt Ratio,ROA - Comprehensive Income,ROE - Comprehensive Income,Operating Gross Profit Margin,Operating Gross Profit Growth Rate,Operating Profit Margin,Earnings Per Share,Revenue Growth Rate,Pre-tax Net Profit Margin,Post-tax Net Profit Margin,Non-operating Income/Revenue,Return on Operating Assets,Equity Growth Rate,Total Asset Growth Rate,TSE_industry_name,ipo_date
0,2023-12-31,1101 台泥,210.95,186.82,27.59,45.91,54.09,161163549,5.05,80532064.0,94.17,0.24,98.64,6.44,0.92,14445652.0,9984.0,9.61,9.7,1.32,0.0,2.97,1.5,2.86,0.9,46.5,1.92,1.61,3.04,18.78,102.6,9.18,1.06,-4.05,13.13,9.15,3.96,4.03,6.56,1.87,M1100 Cement Industry,2000-01-04
1,2022-12-31,1101 台泥,233.51,204.63,44.47,48.29,51.71,176986511,3.32,100414647.0,65.98,0.25,113.82,7.04,1.07,-30522717.0,12188.0,7.88,8.58,1.14,0.0,16.06,0.76,1.48,0.91,8.23,1.42,1.17,2.29,8.9,-61.97,1.02,0.74,6.44,5.83,3.65,4.81,0.46,5.59,4.33,M1100 Cement Industry,2000-01-04
2,2021-12-31,1101 台泥,190.95,170.5,7.78,48.91,51.09,173203344,16.61,80665467.0,30.19,0.26,128.31,7.53,1.12,-16747855.0,11931.0,6.41,8.0,0.33,0.0,1.7,1.08,2.08,1.06,21.39,1.04,2.92,5.46,24.9,-29.1,18.48,3.3,-6.41,24.36,19.81,5.88,8.99,3.12,13.4,M1100 Cement Industry,2000-01-04
3,2020-12-31,1101 台泥,172.4,157.48,6.71,43.82,56.18,129614661,18.8,52205463.0,82.05,0.3,127.2,9.55,1.26,25091819.0,10858.0,5.46,6.38,0.03,0.0,1.43,1.06,8.2,0.98,43.38,1.38,6.74,11.93,32.87,4.67,27.4,4.32,-6.85,30.91,24.48,3.51,16.06,4.97,5.99,M1100 Cement Industry,2000-01-04
4,2019-12-31,1101 台泥,177.58,161.88,8.08,43.27,56.73,115998363,15.84,51613247.0,56.35,0.35,116.88,9.87,1.36,18856664.0,10618.0,4.69,5.63,0.03,0.0,1.43,1.07,5.71,0.97,43.91,1.57,8.57,15.02,29.25,6.9,24.56,4.43,-1.45,26.58,20.73,2.02,15.56,5.61,6.8,M1100 Cement Industry,2000-01-04
5,2018-12-31,1101 台泥,171.12,150.8,10.0,42.64,57.36,105438756,13.41,45876851.0,79.58,0.4,96.0,10.21,1.34,6492976.0,9993.0,4.34,5.47,0.02,0.0,1.42,1.09,9.27,0.83,34.34,2.49,6.39,11.26,26.96,77.61,22.62,4.37,26.73,24.52,18.17,1.9,15.92,29.3,26.24,M1100 Cement Industry,2000-01-04
6,2017-12-31,1101 台泥,142.22,122.16,16.14,43.99,56.01,85710739,8.19,27526954.0,83.76,0.36,87.69,9.21,1.0,10515704.0,9356.0,5.04,5.2,0.03,0.0,1.82,1.14,4.11,0.88,18.88,2.11,7.52,13.53,19.24,5.18,14.2,2.03,9.77,14.06,10.5,-0.14,8.56,3.56,2.09,M1100 Cement Industry,2000-01-04
7,2016-12-31,1101 台泥,141.34,117.5,18.37,44.79,55.21,88062851,7.01,22779093.0,84.2,0.32,81.8,8.03,0.83,12567159.0,9609.0,5.52,5.85,0.02,0.0,1.92,1.15,4.13,0.82,34.03,1.95,0.66,1.22,20.08,23.77,14.55,1.72,-4.39,12.86,9.87,-1.7,7.39,-5.2,-8.9,M1100 Cement Industry,2000-01-04
8,2015-12-31,1101 台泥,133.06,111.48,22.09,46.95,53.05,105604979,5.62,22509544.0,85.02,0.32,91.09,8.15,0.84,17082036.0,9822.0,5.18,5.59,0.01,0.0,2.27,1.21,4.87,0.7,31.97,1.67,-0.2,-0.37,15.51,-41.59,10.33,1.56,-20.83,9.25,7.39,-1.08,5.18,-4.03,0.11,M1100 Cement Industry,2000-01-04
9,2023-12-31,1102 亞泥,147.6,136.33,14.18,43.02,56.98,118232151,8.86,39453142.0,68.44,0.25,59.44,8.86,2.09,12791788.0,5901.0,3.61,6.03,0.0,-0.36,1.64,1.31,5.07,0.79,8.77,1.48,4.17,7.33,12.64,-11.21,9.04,3.28,-9.39,16.88,13.42,7.84,7.3,4.14,3.85,M1100 Cement Industry,2000-01-04
10,2022-12-31,1102 亞泥,157.05,142.49,9.5,43.18,56.82,112862505,12.73,40487091.0,67.87,0.28,56.92,9.08,2.24,9086417.0,5901.0,3.49,5.54,0.0,-0.15,1.56,1.18,5.61,0.8,21.57,1.14,5.31,9.34,12.9,-44.5,9.41,3.63,-3.1,16.68,13.82,7.27,8.18,2.2,2.27,M1100 Cement Industry,2000-01-04
11,2021-12-31,1102 亞泥,149.06,133.13,4.9,43.14,56.86,106671479,25.53,34873352.0,80.0,0.31,60.12,9.46,2.0,7330669.0,5901.0,3.72,5.5,0.0,0.68,1.28,1.05,7.67,0.83,12.09,0.9,5.58,9.78,22.52,-9.21,18.81,4.7,17.63,23.33,18.64,4.52,17.23,6.11,6.72,M1100 Cement Industry,2000-01-04
12,2020-12-31,1102 亞泥,135.92,122.97,5.91,42.82,57.18,98982546,21.75,22996337.0,81.12,0.27,88.29,7.87,1.54,9337891.0,5901.0,4.58,5.98,0.0,0.68,1.25,1.06,8.22,0.82,30.65,1.17,5.92,10.36,29.18,-8.87,24.61,4.7,-15.85,30.2,23.49,5.6,18.53,0.26,-0.06,M1100 Cement Industry,2000-01-04
13,2019-12-31,1102 亞泥,120.05,106.36,7.68,43.0,57.0,95997009,16.6,14906447.0,57.76,0.33,86.98,7.89,1.84,27257010.0,5901.0,3.71,5.48,0.0,0.2,1.28,1.09,6.26,0.87,50.14,1.88,7.5,13.17,26.95,21.01,23.22,5.56,10.95,29.89,23.41,6.66,20.63,6.54,6.48,M1100 Cement Industry,2000-01-04
14,2018-12-31,1102 亞泥,127.95,108.62,10.31,43.03,56.97,96441183,13.17,17554212.0,84.66,0.33,88.29,7.87,1.61,-5705888.0,5878.0,3.53,5.45,0.0,0.17,1.27,1.1,8.25,0.75,17.05,1.89,6.2,10.71,24.71,108.01,21.2,3.54,22.85,23.79,17.39,2.59,18.41,9.09,13.0,M1100 Cement Industry,2000-01-04
15,2017-12-31,1102 亞泥,93.17,77.03,21.78,40.99,59.01,81011059,5.8,-3685465.0,73.76,0.29,85.86,8.82,1.24,15662311.0,6004.0,3.92,5.95,0.0,0.2033333333333334,1.7,1.31,4.26,0.71,15.09,2.09,3.62,6.13,14.59,18.44,10.67,1.74,14.36,12.19,9.56,1.52,8.11,3.65,3.6,M1100 Cement Industry,2000-01-04
