index,M1100 Cement Industry,M1200 Food Industry,M1300 Plastics Industry,M2500 Construction Materials and Construction,M2200 Automobile Industry,M9900 Others,M1400 Textile and Fiber,M3700 Sports and Leisure,M2328 Electronic Components,M1500 Electrical Machinery,M1600 Electrical Equipment and Cables,M1722 Biotechnology and Medical Care,M1721 Chemical Industry,M1800 Glass and Ceramics,M1900 Paper Industry,M2000 Steel Industry,M3800 Home and Lifestyle,M2100 Rubber Industry,M2600 Shipping Industry,M2325 Computers and Peripherals,M2324 Semiconductors,M2331 Other Electronics,M2327 Telecommunications and Networking,M2326 Optoelectronics,M2329 Electronic Distribution,M2330 Information Services,M2900 Trade and Retail,"M9700 Oil, Electricity, and Gas",M2700 Tourism and Hospitality,M3600 Digital and Cloud Services,M3500 Green Energy and Environmental Protection
2016-01-04,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0
2016-01-05,995472.040134815,996041.3162374194,1000484.5820830999,995431.7174779533,1002153.7949877183,999383.1658555705,999906.4375035061,1005676.3839383835,1003858.3957678387,994888.9006866924,,987312.5283475255,1001718.5172776529,1000450.9162391672,1000000.7017865835,994594.5947276794,1004475.2133661092,998790.4631735074,996216.1780139224,1003156.6239171423,996516.4288183572,1000012.5098211188,1000000.0,1003529.1675729499,1004558.8598945858,992238.7231601917,995067.5761931234,996648.2899207219,1002000.729856013,1000000.0,999375.1723841911
2016-01-06,990235.1133477583,980910.3621863363,987512.9519153847,991199.9279371001,992696.7822327462,994553.7559388924,988804.9245274097,1004872.4831447202,988637.4172017061,983455.167280655,,968102.902138789,993417.3330264763,998490.7207104043,996624.6967237728,989173.4778074222,1001328.8560753502,1002060.6229053808,996801.5137010025,1002702.2217695292,990818.6367822972,995487.0140076815,1000000.0,979764.8782686741,994124.090109739,985963.0251538218,977588.3342853537,993332.2285354536,1003221.5104815698,1000000.0,991699.6456322366
2016-01-07,998951.5715999487,965081.7799551417,958257.1662799926,973579.8572948124,973902.8735379566,978680.501292527,985282.1743771288,994725.418522355,965151.5874233262,975583.3109082342,,931897.7116618115,982189.2822898155,980117.4828162079,982454.7740847629,977220.6329028474,988351.5940553811,985620.4631281805,982854.0782359107,978603.6440052164,960819.4428224909,975802.806716323,1000000.0,939888.3220601279,980586.1895275498,973317.3695634123,947325.3204108898,988598.8707159089,987182.250612381,1000000.0,988975.2848862143
2016-01-08,996780.4249227,971336.9761284807,969582.4342766568,979619.8377911464,994149.1426319568,986681.0358372987,986302.7737733813,1006339.7888543187,975221.3285457843,984238.6825096596,,962210.0437808358,989975.6745477332,983924.3622980786,988874.0958189162,988936.2586123738,1002611.8509834472,989552.4979350899,986076.4372708237,992454.90199148,964843.1526144667,992453.525414103,1000000.0,964773.1152699584,987068.1354565481,982152.5565334162,961768.3849774682,991637.0699890162,987931.7529634271,1000000.0,994312.0820150902
2016-01-11,985209.9108672108,957247.0004731579,968379.0914844263,965460.6543237318,981548.6510677864,974231.40580629,979652.7264875023,978415.8790958408,953967.127155642,972385.5255048531,,947577.7804739831,986199.7238832831,976040.6784961047,977833.8246585194,975927.1506782925,1011551.9464611675,980629.6241746582,967641.0584427143,976440.7101080031,958761.6975193345,984197.9684576228,1000000.0,934754.1065579694,968747.7384893438,967146.4404921657,942382.5721437748,983501.2540602841,977439.3564187614,1000000.0,985498.2533727699
2016-01-12,981055.4288144474,961988.1954826943,954457.4614928119,959726.8379635443,959250.5928823971,967597.8563659734,971999.394089246,965227.4274740156,943708.2704190164,962115.7607841204,,924974.8078021299,982871.5232093805,977332.2181833368,966729.0244954191,973858.580265498,995780.0828778498,967594.5228990745,967098.1021342336,961717.4942468724,942950.3758739496,981197.6404530564,1000000.0,902997.2801907755,966024.6019469841,960893.4447822866,928573.423359402,990804.900092104,965552.7050375184,1000000.0,978364.6821888217
2016-01-13,987601.5357076486,970209.7113354563,953478.1327462468,961631.5068770092,969876.5242639707,970930.9360700615,967422.4509506153,964835.3401582561,952962.3472799775,961509.0307259407,,936587.2817968788,979549.9679801855,982392.7618377558,965907.0718823347,976331.7988862541,997907.4549953447,968003.4530701828,973487.5060683254,971254.941476418,938324.499975299,975233.0879581557,1000000.0,914498.6244109598,968339.4322770267,958091.8013572237,933131.7615879592,994935.5395637257,966838.0155335191,1000000.0,983127.7727253903
2016-01-14,977874.7087634194,959014.4769178404,934432.1099043248,955753.703134852,943026.4657765205,961382.2145091883,954485.6079560537,945643.0723682169,941608.2730448636,953780.7951072686,,925637.5217842596,971558.6055473182,976167.6827008359,959189.4970026456,968653.6012223846,980365.9442895814,975408.7333702204,967984.4438953687,959000.9621713212,928045.0835060615,970316.8051995034,1000000.0,898089.3942921245,956965.1126844934,943641.1864905669,926205.0475393861,993231.6313021944,961743.3181273546,1000000.0,977077.476363488
2016-01-15,976482.0790516088,960125.6744432615,932860.8648883761,953924.2113254066,940275.3509218976,963121.6541063664,959998.7767368783,947526.0060243679,942395.3764621651,950931.9575985636,,947537.6768562237,967245.4726095975,970246.2966267735,955535.3372477074,972375.933168615,986755.8342352033,985140.8917726999,961625.533012427,958048.5404753655,927518.304697577,970906.562136762,1000000.0,896608.1783899536,957854.7864122872,938777.469734411,935099.3804196474,993084.7039626082,965044.7002840167,1000000.0,981963.2104972088
