,Annual Return,Annual Volatility,Sharpe Ratio,Sortino Ratio,Max Drawdown,Daily VaR (95%)
M1100 Cement Industry,0.06639688503936747,0.11504671008501575,0.5374559901527969,0.7512085443032074,-0.26977804171932535,0.011039044289264326
M1200 Food Industry,0.06563055194762724,0.11333224956969534,0.537741117694418,0.6673757355851333,-0.2155630751818291,0.01015707415466579
M1300 Plastics Industry,0.04514115561297616,0.1775053918452195,0.28621614888887115,0.38642250926643534,-0.4436546914117922,0.01639477614694043
M2500 Construction Materials and Construction,0.19860868054294434,0.14727613726933897,1.24312334315485,1.4982199072959426,-0.2805768535759386,0.012112233052056604
M2200 Automobile Industry,0.16244107714095768,0.19705656132142244,0.8172136135068324,1.0313729825038453,-0.5017773804984597,0.017756491973491932
M9900 Others,0.07899303507728428,0.12889761721652018,0.5843086851223835,0.7147765445292592,-0.33374335480317957,0.01218522470208859
M1400 Textile and Fiber,0.021994322821853318,0.1605341076010118,0.1594135304083459,0.19989618291951197,-0.3706393716114381,0.01328621370876667
M3700 Sports and Leisure,0.06997965414436269,0.22789111227414582,0.3709452400585393,0.5323596788006318,-0.4728055955124757,0.020397238503971564
M2328 Electronic Components,0.12050933612215275,0.1876522864593309,0.6527400914684223,0.7658857599871421,-0.40666302414381994,0.01910275014649795
M1500 Electrical Machinery,0.14934517145981618,0.16678388716384915,0.8640352295142916,1.1782301048993602,-0.3235160747847574,0.015098180515485908
M1600 Electrical Equipment and Cables,,0.20500115197520966,0.8682303819228455,1.1680947575505793,-0.3139224458800437,0.01774394580608329
M1722 Biotechnology and Medical Care,0.08427338496042203,0.17575357047914214,0.49704352754508796,0.6394116252312035,-0.3113653945158486,0.01607460408627481
M1721 Chemical Industry,0.10571127807827252,0.16234002747392365,0.6448142721411141,0.8048913594874189,-0.3501979046658662,0.014849640583519895
M1800 Glass and Ceramics,0.07823246492429625,0.20260542773155416,0.42820223805121593,0.5565382231592572,-0.5232483837667399,0.018625508777257285
M1900 Paper Industry,0.1011415185058615,0.19214876499408565,0.549916619700461,0.8456092823157525,-0.3231573888807394,0.016077442200043757
M2000 Steel Industry,0.11485266124726223,0.19636181127082852,0.605417713369039,0.8563160054029704,-0.3607101493976166,0.01618489375538692
M3800 Home and Lifestyle,0.15022165542591104,0.1544863422576534,0.9228294476789497,1.4180169487573782,-0.25017908228367886,0.012953225021042455
M2100 Rubber Industry,0.05179888843588176,0.16054524053340524,0.3382882797633903,0.46296937556109874,-0.29419238063079567,0.014361505726119408
M2600 Shipping Industry,0.20663258787465977,0.2419674288516171,0.8597278271598127,1.1864664628254482,-0.39589527104114314,0.021020595703290897
M2325 Computers and Peripherals,0.15531822056505518,0.1746812239738792,0.8626753406869182,1.0902903520632647,-0.31633976881482984,0.01721318581200262
M2324 Semiconductors,0.1972548136522052,0.23411008327110516,0.8480453588846829,1.1431764709490564,-0.44237202808727716,0.022663688798119055
M2331 Other Electronics,0.15228837906919623,0.1697002663668058,0.8665685674019983,1.1642148414480118,-0.2719174692392241,0.014804844090289756
M2327 Telecommunications and Networking,0.13887473954976226,0.20845521650156626,0.6851663878431133,0.8645919776362807,-0.3028122031489073,0.02093234289584072
M2326 Optoelectronics,0.2477391505988964,0.24436444996286197,0.9920557057139494,1.264161181281717,-0.41732445498036086,0.024761370121015994
M2329 Electronic Distribution,0.11839742898714256,0.1233472589720862,0.895887851188504,1.0878672532439793,-0.2165933861108719,0.011789620145662427
M2330 Information Services,0.15496644370312374,0.17513112197367625,0.8587966679055294,1.1695727524072774,-0.2297813783608087,0.01588593285464489
M2900 Trade and Retail,0.02572592623395198,0.14602330417512044,0.18492726730069503,0.23746878692788148,-0.36215079922771054,0.014511192711356589
"M9700 Oil, Electricity, and Gas",0.030613244801852124,0.08063095710765408,0.3015528939811744,0.40700990469846055,-0.23018925733259804,0.0069588893274126155
M2700 Tourism and Hospitality,0.08642656408409466,0.1973232903121374,0.4723902945110053,0.6586569310790471,-0.36814152509608394,0.017870092613125686
M3600 Digital and Cloud Services,0.09103493351887804,0.17052553425330375,0.542780759935152,0.7361441730242868,-0.4985729672830756,0.017151031800497513
M3500 Green Energy and Environmental Protection,0.08931446371126128,0.1534535168123592,0.5752781675537325,0.7820350180148538,-0.3804443887602592,0.014685894408443999
