index,M1100 Cement Industry,M1200 Food Industry,M1300 Plastics Industry,M2500 Construction Materials and Construction,M2200 Automobile Industry,M9900 Others,M1400 Textile and Fiber,M3700 Sports and Leisure,M2328 Electronic Components,M1500 Electrical Machinery,M1600 Electrical Equipment and Cables,M1722 Biotechnology and Medical Care,M1721 Chemical Industry,M1800 Glass and Ceramics,M1900 Paper Industry,M2000 Steel Industry,M3800 Home and Lifestyle,M2100 Rubber Industry,M2600 Shipping Industry,M2325 Computers and Peripherals,M2324 Semiconductors,M2331 Other Electronics,M2327 Telecommunications and Networking,M2326 Optoelectronics,M2329 Electronic Distribution,M2330 Information Services,M2900 Trade and Retail,"M9700 Oil, Electricity, and Gas",M2700 Tourism and Hospitality,M3600 Digital and Cloud Services,M3500 Green Energy and Environmental Protection
2016-01-04,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0
2016-01-05,1002829.8516628706,997958.7026180676,1001645.1671676126,1000278.3756461255,999331.648881269,1010471.6555636437,1001466.986833542,1000262.992632584,995721.0394965323,996941.1481912198,,992364.8236998577,1001258.07975345,1000450.9162391672,1000000.7017865835,991159.5360207306,1011735.618787,999873.1655681651,997097.1135222815,1003219.0061663147,992680.138564776,1007769.2038450782,1000000.0,992521.4937517043,998426.5084924039,988887.0966275942,989981.8323939876,997666.4898742636,1004347.191394548,1000000.0,999145.13353634
2016-01-06,996897.6697907926,999293.1373919224,997394.3565090909,986449.4125450128,993845.5156513463,1013251.0797816354,992975.7380565156,984980.7329336246,966569.8758756227,992345.6749465726,,973115.1739539569,994088.4113071002,998490.7207104043,996624.6967237728,992076.1153717741,1011479.1431431633,995901.7972893689,995880.1243066404,985747.1984333514,987657.2766393961,997714.5371852665,1000000.0,969690.5214041434,989198.3843463692,982770.387368484,975138.9693708165,991180.6214525901,992026.3805207278,1000000.0,999243.3159777559
2016-01-07,1011064.4325063487,989507.3893865376,989665.67818731,964428.058932844,976778.1557570876,994819.6685733175,990609.729610309,956739.0562844136,948631.4583383051,968578.5673241412,,945181.650924671,978638.794113128,980117.4828162079,982454.7740847629,977380.1541925628,995972.0497977698,991349.5297141882,986205.9819284442,971963.5806921676,962308.2297569524,981088.9565843808,1000000.0,954544.686759292,987004.5142522493,972672.7241616453,952620.6466908527,990484.1127511434,979396.0165517967,1000000.0,979056.5731027555
2016-01-08,1005506.7508782025,989925.5564343322,991098.1344732493,975749.3663091188,983732.9300297393,1002488.886428204,991942.4609974186,974051.2699537596,953265.1903611615,985836.9756072294,,972578.386765476,983539.5062042704,983924.3622980786,988874.0958189162,990902.2598266619,1006507.3316353306,990921.4090820525,989380.3966415453,983235.2015482917,1001659.7871130122,986856.7966761154,1000000.0,983344.5435105226,997112.772532554,981651.400676738,960240.9275241394,993052.3988662531,982302.8671965415,1000000.0,991034.2548045501
2016-01-11,989754.9378835657,981425.9875922144,996823.8201395286,959785.2468405055,967705.3881509352,992809.5092818212,986653.9924639119,956884.5214950773,932945.4338821544,992807.5977728134,,958564.4820588597,970156.8311604687,976040.6784961047,977833.8246585194,982187.5442879053,1006314.0870566132,984097.5442609267,974071.7714790121,964628.2377462293,990498.793197239,988864.0585814368,1000000.0,961484.0317011005,993465.2597093381,973615.4157184864,935515.3229366841,992185.1120313638,972739.5899556625,1000000.0,986174.935992453
2016-01-12,987688.4302649448,978672.9924400647,1000520.7685143839,952050.7151234037,961997.6082612564,985394.1475302961,962319.120701518,961422.8615475607,918077.4170764906,991787.4600827161,,923150.0648215539,965774.8587918532,977332.2181833368,966729.0244954191,976917.879939541,991244.275581128,982754.9405082297,973414.0318574759,960991.138791803,986568.1682636964,955032.7379454138,1000000.0,945695.0173491032,972118.7732363504,968654.9344431577,928564.3788121452,994083.5399013802,971452.0593191759,1000000.0,973896.951871484
2016-01-13,996803.5992315427,984469.9669885939,1004597.2784901299,950421.1367790576,970754.3024323843,981492.628714099,969271.174490514,969694.9337943958,920928.5983977328,982386.5983037407,,939457.6444476191,968081.1320552716,982392.7618377558,965907.0718823347,973288.502848196,995296.6372022323,977213.4178677018,975283.3921930854,959587.6340065432,1001227.988134031,954273.9667996499,1000000.0,960662.7653199252,979228.4727740625,970115.8484090192,938110.7063518013,999733.5247969689,968608.745998976,1000000.0,978222.130362383
2016-01-14,994005.4919009068,987288.7343415476,998567.2340259146,939563.305533973,957527.3427223108,969579.8258816845,963813.1886219941,961482.085451939,905770.9773588456,980193.3627930317,,925984.837125336,960225.934770097,976167.6827008359,959189.4970026456,968877.7521446557,977798.0274838043,968514.4899560538,966481.4053162016,953909.2891826134,998869.4866120965,952437.688818514,1000000.0,938295.091947141,963284.1448618206,960669.855980669,922238.6885950567,998240.0053866206,964139.8441938346,1000000.0,975848.9558458804
2016-01-15,995707.436745731,985732.2393318556,1000659.9184403053,936276.7743450316,959826.9714021763,967359.2931598147,974549.3400432103,968407.7240319975,907865.8386063162,957692.1386248001,,943392.5921948763,960383.2485043606,970246.2966267735,955535.3372477074,971824.4769963879,977693.7506730012,967425.2138198485,961656.4789803661,946616.8700036762,997590.5899445107,954957.0435981359,1000000.0,927087.2625847952,954831.4691369061,957847.6223164616,927099.5886523481,996862.8784181052,965571.8793069571,1000000.0,980980.17502008
2016-01-18,990039.8958533354,986318.1025701076,1002941.4539830476,942032.1241392927,977408.7917541792,987528.1301024552,981393.1439360932,987073.200339867,921989.1259851098,991670.7215794335,,971893.6947441922,971448.7857222556,991223.7184193422,961072.5468216268,973563.0583931855,987841.609630032,984740.0433396255,981190.6287367331,960431.7773800403,996592.6368106196,966283.1130342976,1000000.0,956934.6044199574,968364.4856667935,965447.1256444523,945540.7366098464,997363.7770954993,964974.9818626925,1000000.0,988340.584469065
2016-01-19,989238.3759486326,988322.3271492948,1006386.5881959288,951129.3327973228,981558.5349089052,991391.4143805626,980655.1408572963,1003243.6394192976,926982.1684930677,1003932.4472827782,,982519.5087131225,977749.1738459273,1000434.3922197614,965402.697578227,981836.9062371935,1007138.6924129684,995281.5191014878,984768.8676886027,970248.812150399,1018867.4129320976,965998.073230902,1000000.0,964228.8871970883,980982.9586714698,974427.1209297003,946914.2635732442,997288.7085268478,971183.8063622691,1000000.0,1000306.7281787135
2016-01-20,983413.5343823662,988461.4732197819,993952.1855162968,938805.4123055877,960986.2544379655,974529.4649627378,977225.4752153036,985959.3114690775,906689.9862056599,981212.4105643578,,960473.3841839199,974268.3411681443,993691.7399299733,957297.2166863689,973070.3901048767,994719.9972727076,978758.2707944899,969559.5372332527,958170.5899383731,1017141.9807464778,955921.9633393075,1000000.0,939280.4284699816,958363.0742478665,963498.1520179673,932722.3761219608,1003988.5738791223,961293.4253849076,1000000.0,992228.3632995778
2016-01-21,975855.3665244476,979635.5520153217,980425.6733732386,932782.4109587534,959207.4308518864,976093.3587819304,954512.2849169001,983396.3405489244,904350.2184295193,986067.7615212579,,957761.3263106666,968478.2373698716,987073.7386244998,957079.8666480809,973199.2201268142,992276.3220999521,970160.4434267294,966932.503010642,953133.6098760453,1016416.5679623323,945192.2883807949,1000000.0,946662.6731599537,963382.7783249454,963299.982454096,926674.8645874012,1004007.8017125725,962881.0477324998,1000000.0,994202.4700873472
2016-01-22,975217.3500521987,981498.8540957248,989538.2024320331,931213.2765942956,961286.1945727994,976828.4603075989,970106.7782491053,986118.8761960587,911996.1649550928,985883.5600151012,,953635.9190747597,972225.1590644644,986361.1054039528,956821.2578695363,976565.7784926231,1002356.5146425663,970567.1766152239,969717.9764778691,967995.4669283994,1025979.7491595004,948770.6623262494,1000000.0,937911.3304459766,962314.0271452382,967063.6291887803,921447.3006900871,1005471.710772863,960795.3159733228,1000000.0,1000730.9974927168
