,Annual Return,Annual Volatility,Sharpe Ratio,Sortino Ratio,Max Drawdown,Daily VaR (95%)
M1100 Cement Industry,0.0666376981046064,0.13124606871132205,0.4880116489369351,0.676203714237851,-0.28907711701299604,0.011545762852852932
M1200 Food Industry,0.08029260250466619,0.10984676332192991,0.675641159679782,0.8698379736454731,-0.25791650115421016,0.009611931648811963
M1300 Plastics Industry,0.0540595480281687,0.16095488034631364,0.3514034559349695,0.45449663119454625,-0.3663337357678837,0.014876528877978072
M2500 Construction Materials and Construction,0.17962409145219338,0.16403195077534793,1.0343397250134663,1.334346577249204,-0.3165958678710955,0.01388492504708976
M2200 Automobile Industry,0.05643665066038528,0.17230571906009834,0.35240123617635555,0.4598071872629509,-0.5010929172953931,0.016394907149025247
M9900 Others,0.08973378178054459,0.13158729839530012,0.6502859513349022,0.8593160078906391,-0.3347743651701691,0.012172639314271228
M1400 Textile and Fiber,0.11578715707751619,0.18614413173916539,0.6271404839178645,1.0147715887134274,-0.33991801464369803,0.013928108662596105
M3700 Sports and Leisure,0.05956724597702334,0.18639985438052983,0.35530414878436045,0.46593413520992694,-0.3610966876429536,0.017335700827670494
M2328 Electronic Components,0.28575819435731287,0.6076002138179138,0.5686814314478967,2.0626884700451042,-0.4188778648982843,0.02094826011389011
M1500 Electrical Machinery,0.12678453047042426,0.1863777074669348,0.6849305203078433,0.9639114315915974,-0.36982917510459407,0.017693948304377885
M1600 Electrical Equipment and Cables,,0.1939044719534402,0.9333316503133713,1.252941315861126,-0.271008065811644,0.01694587817664983
M1722 Biotechnology and Medical Care,0.07418329902423126,0.19231952355330403,0.4214150764916621,0.5632396545571892,-0.3813717110395604,0.018391381666979942
M1721 Chemical Industry,0.09772325302107387,0.15086723248680092,0.633937746547431,0.776468742691878,-0.3265059433568836,0.014104879891249809
M1800 Glass and Ceramics,0.08321914607806535,0.19279796198666288,0.46354324095763366,0.6361346641316532,-0.4199142813376867,0.01678125632048599
M1900 Paper Industry,0.08118960209672998,0.1932391188154196,0.45313325601041377,0.6917980349732005,-0.404364416423347,0.01692188829543369
M2000 Steel Industry,0.2092927034153782,0.2343742127926647,0.8890813948126872,1.2716482287664963,-0.4619936181486306,0.018446388616423247
M3800 Home and Lifestyle,0.14019172118665235,0.16234988110544782,0.8318773547448681,1.2489300673515285,-0.2597351878771385,0.013562953642235887
M2100 Rubber Industry,0.023010102405574218,0.14369571426325511,0.1669910247057276,0.22026586494560968,-0.3446151540022608,0.013764444830991424
M2600 Shipping Industry,0.17757460901200406,0.24281678230810144,0.7573476712011568,1.0142722775864956,-0.485205221617082,0.021858519472061008
M2325 Computers and Peripherals,0.18677504419536262,0.18799213787106073,0.9570055359312011,1.277893815725811,-0.35351183728817803,0.01714197922538723
M2324 Semiconductors,0.2764907697109795,0.23549340369382268,1.116482810101399,1.6129610777222165,-0.4372718158333097,0.021540078942960506
M2331 Other Electronics,0.171362971684208,0.20429328402354544,0.8327098710385825,1.1271766823517673,-0.3725767516442606,0.01997929794660423
M2327 Telecommunications and Networking,0.028078128214899634,0.17837905664630668,0.19332762708004816,0.25194231167742887,-0.3337080695821554,0.01777451170027259
M2326 Optoelectronics,0.1558289970259894,0.22009788151953427,0.727764391322783,0.9488125137818563,-0.47274138066458715,0.02210107726282922
M2329 Electronic Distribution,0.13602849188070443,0.1383032710865516,0.92627223101226,1.1912505405593594,-0.21604492947001044,0.012449047352668163
M2330 Information Services,0.13006945427247119,0.141278969940521,0.872400067452381,1.1645052687631365,-0.2195650967235125,0.013462293641541327
M2900 Trade and Retail,0.031474816202733624,0.1468907992718598,0.22267710882403552,0.295785840852896,-0.33126582236547264,0.014828247026927028
"M9700 Oil, Electricity, and Gas",0.03069113769862475,0.09085568199632083,0.27813765771904253,0.377361176187137,-0.17330435079297923,0.008437074155437263
M2700 Tourism and Hospitality,0.04657413315456038,0.17133203746403572,0.2982697302398356,0.39964031488306323,-0.38402806565419273,0.015925230079950822
M3600 Digital and Cloud Services,0.13105675435756736,0.2533143824157039,0.5764724997290868,0.8949520954950118,-0.6027358691493907,0.023427862745984986
M3500 Green Energy and Environmental Protection,0.0308169758182113,0.13950848083388584,0.22211069843903755,0.3150602560259611,-0.32554844789126164,0.012713464900990484
