time,stock,weight
2024-01-01,1101 台泥,0.2
2024-01-01,1102 亞泥,0.2
2024-01-01,1104 環泥,0.2
2024-01-01,1108 幸福,0.2
2024-01-01,1110 東泥,0.2
2023-01-01,1102 亞泥,0.2
2023-01-01,1104 環泥,0.2
2023-01-01,1108 幸福,0.2
2023-01-01,1110 東泥,0.2
2023-01-01,1103 嘉泥,0.2
2022-01-01,1102 亞泥,0.16666666666666666
2022-01-01,1104 環泥,0.16666666666666666
2022-01-01,1108 幸福,0.16666666666666666
2022-01-01,1109 信大,0.16666666666666666
2022-01-01,1110 東泥,0.16666666666666666
2022-01-01,1103 嘉泥,0.16666666666666666
2021-01-01,1101 台泥,0.3333333333333333
2021-01-01,1108 幸福,0.3333333333333333
2021-01-01,1110 東泥,0.3333333333333333
2020-01-01,1110 東泥,0.5
2020-01-01,1103 嘉泥,0.5
2019-01-01,1103 嘉泥,0.2
2019-01-01,1104 環泥,0.2
2019-01-01,1108 幸福,0.2
2019-01-01,1110 東泥,0.2
2019-01-01,1109 信大,0.2
2018-01-01,1101 台泥,0.3333333333333333
2018-01-01,1103 嘉泥,0.3333333333333333
2018-01-01,1108 幸福,0.3333333333333333
2017-01-01,1103 嘉泥,0.2
2017-01-01,1104 環泥,0.2
2017-01-01,1108 幸福,0.2
2017-01-01,1110 東泥,0.2
2017-01-01,1101 台泥,0.2
2016-01-01,1101 台泥,0.25
2016-01-01,1102 亞泥,0.25
2016-01-01,1103 嘉泥,0.25
2016-01-01,1109 信大,0.25
