time,stock,weight
2024-01-01,1410 南染,0.1
2024-01-01,1418 東華,0.1
2024-01-01,1423 利華,0.1
2024-01-01,1441 大東,0.1
2024-01-01,1445 大宇,0.1
2024-01-01,1463 強盛,0.1
2024-01-01,1465 偉全,0.1
2024-01-01,1470 大統新創,0.1
2024-01-01,1476 儒鴻,0.1
2024-01-01,1468 昶和,0.1
2023-01-01,1410 南染,0.08333333333333333
2023-01-01,1418 東華,0.08333333333333333
2023-01-01,1423 利華,0.08333333333333333
2023-01-01,1446 宏和,0.08333333333333333
2023-01-01,1451 年興,0.08333333333333333
2023-01-01,1457 宜進,0.08333333333333333
2023-01-01,1465 偉全,0.08333333333333333
2023-01-01,1475 業旺,0.08333333333333333
2023-01-01,1476 儒鴻,0.08333333333333333
2023-01-01,4438 廣越,0.08333333333333333
2023-01-01,4439 冠星-KY,0.08333333333333333
2023-01-01,1441 大東,0.08333333333333333
2022-01-01,1445 大宇,0.09090909090909091
2022-01-01,1451 年興,0.09090909090909091
2022-01-01,1452 宏益,0.09090909090909091
2022-01-01,1455 集盛,0.09090909090909091
2022-01-01,1463 強盛,0.09090909090909091
2022-01-01,1476 儒鴻,0.09090909090909091
2022-01-01,1477 聚陽,0.09090909090909091
2022-01-01,4439 冠星-KY,0.09090909090909091
2022-01-01,1454 台富,0.09090909090909091
2022-01-01,1475 業旺,0.09090909090909091
2022-01-01,4426 利勤,0.09090909090909091
2021-01-01,1418 東華,0.16666666666666666
2021-01-01,1445 大宇,0.16666666666666666
2021-01-01,1451 年興,0.16666666666666666
2021-01-01,1470 大統新創,0.16666666666666666
2021-01-01,1475 業旺,0.16666666666666666
2021-01-01,1476 儒鴻,0.16666666666666666
2020-01-01,1414 東和,0.058823529411764705
2020-01-01,1417 嘉裕,0.058823529411764705
2020-01-01,1423 利華,0.058823529411764705
2020-01-01,1434 福懋,0.058823529411764705
2020-01-01,1441 大東,0.058823529411764705
2020-01-01,1446 宏和,0.058823529411764705
2020-01-01,1451 年興,0.058823529411764705
2020-01-01,1452 宏益,0.058823529411764705
2020-01-01,1454 台富,0.058823529411764705
2020-01-01,1459 聯發,0.058823529411764705
2020-01-01,1463 強盛,0.058823529411764705
2020-01-01,1465 偉全,0.058823529411764705
2020-01-01,1470 大統新創,0.058823529411764705
2020-01-01,1476 儒鴻,0.058823529411764705
2020-01-01,4438 廣越,0.058823529411764705
2020-01-01,1418 東華,0.058823529411764705
2020-01-01,4439 冠星-KY,0.058823529411764705
2019-01-01,1402 遠東新,0.0625
2019-01-01,1409 新纖,0.0625
2019-01-01,1413 宏洲,0.0625
2019-01-01,1418 東華,0.0625
2019-01-01,1423 利華,0.0625
2019-01-01,1434 福懋,0.0625
2019-01-01,1441 大東,0.0625
2019-01-01,1445 大宇,0.0625
2019-01-01,1446 宏和,0.0625
2019-01-01,1451 年興,0.0625
2019-01-01,1465 偉全,0.0625
2019-01-01,1468 昶和,0.0625
2019-01-01,1475 業旺,0.0625
2019-01-01,1476 儒鴻,0.0625
2019-01-01,4414 如興,0.0625
2019-01-01,4438 廣越,0.0625
2018-01-01,1409 新纖,0.058823529411764705
2018-01-01,1410 南染,0.058823529411764705
2018-01-01,1413 宏洲,0.058823529411764705
2018-01-01,1418 東華,0.058823529411764705
2018-01-01,1423 利華,0.058823529411764705
2018-01-01,1444 力麗,0.058823529411764705
2018-01-01,1445 大宇,0.058823529411764705
2018-01-01,1452 宏益,0.058823529411764705
2018-01-01,1463 強盛,0.058823529411764705
2018-01-01,1465 偉全,0.058823529411764705
2018-01-01,1470 大統新創,0.058823529411764705
2018-01-01,1475 業旺,0.058823529411764705
2018-01-01,1476 儒鴻,0.058823529411764705
2018-01-01,1477 聚陽,0.058823529411764705
2018-01-01,4414 如興,0.058823529411764705
2018-01-01,4438 廣越,0.058823529411764705
2018-01-01,1446 宏和,0.058823529411764705
2017-01-01,1410 南染,0.14285714285714285
2017-01-01,1414 東和,0.14285714285714285
2017-01-01,1470 大統新創,0.14285714285714285
2017-01-01,1475 業旺,0.14285714285714285
2017-01-01,1476 儒鴻,0.14285714285714285
2017-01-01,4438 廣越,0.14285714285714285
2017-01-01,1463 強盛,0.14285714285714285
2016-01-01,1410 南染,0.125
2016-01-01,1414 東和,0.125
2016-01-01,1418 東華,0.125
2016-01-01,1419 新紡,0.125
2016-01-01,1475 業旺,0.125
2016-01-01,1476 儒鴻,0.125
2016-01-01,4426 利勤,0.125
2016-01-01,1477 聚陽,0.125
