time,stock,weight
2023-01-01,1806 冠軍,0.3333333333333333
2023-01-01,1809 中釉,0.3333333333333333
2023-01-01,1817 凱撒衛,0.3333333333333333
2022-01-01,1806 冠軍,0.25
2022-01-01,1809 中釉,0.25
2022-01-01,1810 和成,0.25
2022-01-01,1817 凱撒衛,0.25
2021-01-01,1802 台玻,0.25
2021-01-01,1806 冠軍,0.25
2021-01-01,1809 中釉,0.25
2021-01-01,1810 和成,0.25
2020-01-01,1802 台玻,0.3333333333333333
2020-01-01,1809 中釉,0.3333333333333333
2020-01-01,1817 凱撒衛,0.3333333333333333
2019-01-01,1809 中釉,0.25
2019-01-01,1810 和成,0.25
2019-01-01,1817 凱撒衛,0.25
2019-01-01,1806 冠軍,0.25
2018-01-01,1802 台玻,0.3333333333333333
2018-01-01,1810 和成,0.3333333333333333
2018-01-01,1817 凱撒衛,0.3333333333333333
2017-01-01,1806 冠軍,0.25
2017-01-01,1809 中釉,0.25
2017-01-01,1810 和成,0.25
2017-01-01,1817 凱撒衛,0.25
2016-01-01,1802 台玻,0.25
2016-01-01,1806 冠軍,0.25
2016-01-01,1809 中釉,0.25
2016-01-01,1817 凱撒衛,0.25
