time,stock,weight
2024-01-01,1905 華紙,0.5
2024-01-01,1904 正隆,0.5
2023-01-01,1904 正隆,0.2
2023-01-01,6790 永豐實,0.2
2023-01-01,1903 士紙,0.2
2023-01-01,1905 華紙,0.2
2023-01-01,1906 寶隆,0.2
2022-01-01,1904 正隆,0.25
2022-01-01,1905 華紙,0.25
2022-01-01,6790 永豐實,0.25
2022-01-01,1903 士紙,0.25
2021-01-01,1905 華紙,0.16666666666666666
2021-01-01,1903 士紙,0.16666666666666666
2021-01-01,1904 正隆,0.16666666666666666
2021-01-01,1906 寶隆,0.16666666666666666
2021-01-01,1907 永豐餘,0.16666666666666666
2021-01-01,1909 榮成,0.16666666666666666
2019-01-01,1907 永豐餘,0.25
2019-01-01,1903 士紙,0.25
2019-01-01,1904 正隆,0.25
2019-01-01,1906 寶隆,0.25
2018-01-01,1904 正隆,0.2
2018-01-01,1903 士紙,0.2
2018-01-01,1905 華紙,0.2
2018-01-01,1906 寶隆,0.2
2018-01-01,1907 永豐餘,0.2
2017-01-01,1909 榮成,0.2
2017-01-01,1903 士紙,0.2
2017-01-01,1904 正隆,0.2
2017-01-01,1905 華紙,0.2
2017-01-01,1906 寶隆,0.2
2016-01-01,1903 士紙,0.16666666666666666
2016-01-01,1904 正隆,0.16666666666666666
2016-01-01,1905 華紙,0.16666666666666666
2016-01-01,1906 寶隆,0.16666666666666666
2016-01-01,1907 永豐餘,0.16666666666666666
2016-01-01,1909 榮成,0.16666666666666666
