time,stock,weight
2024-01-01,1521 大億,0.125
2024-01-01,1525 江申,0.125
2024-01-01,2204 中華,0.125
2024-01-01,2207 和泰車,0.125
2024-01-01,2241 艾姆勒,0.125
2024-01-01,4581 光隆精密-KY,0.125
2024-01-01,6288 聯嘉,0.125
2024-01-01,2201 裕隆,0.125
2023-01-01,1512 瑞利,0.09090909090909091
2023-01-01,1525 江申,0.09090909090909091
2023-01-01,1533 車王電,0.09090909090909091
2023-01-01,2201 裕隆,0.09090909090909091
2023-01-01,2204 中華,0.09090909090909091
2023-01-01,2207 和泰車,0.09090909090909091
2023-01-01,2236 百達-KY,0.09090909090909091
2023-01-01,2241 艾姆勒,0.09090909090909091
2023-01-01,2243 宏旭-KY,0.09090909090909091
2023-01-01,2497 怡利電,0.09090909090909091
2023-01-01,4581 光隆精密-KY,0.09090909090909091
2022-01-01,1512 瑞利,0.09090909090909091
2022-01-01,1525 江申,0.09090909090909091
2022-01-01,2201 裕隆,0.09090909090909091
2022-01-01,2206 三陽工業,0.09090909090909091
2022-01-01,2207 和泰車,0.09090909090909091
2022-01-01,2227 裕日車,0.09090909090909091
2022-01-01,2236 百達-KY,0.09090909090909091
2022-01-01,2243 宏旭-KY,0.09090909090909091
2022-01-01,2250 IKKA-KY,0.09090909090909091
2022-01-01,4581 光隆精密-KY,0.09090909090909091
2022-01-01,6288 聯嘉,0.09090909090909091
2021-01-01,1512 瑞利,0.07142857142857142
2021-01-01,1525 江申,0.07142857142857142
2021-01-01,1533 車王電,0.07142857142857142
2021-01-01,1536 和大,0.07142857142857142
2021-01-01,1587 吉茂,0.07142857142857142
2021-01-01,2115 六暉-KY,0.07142857142857142
2021-01-01,2227 裕日車,0.07142857142857142
2021-01-01,2233 宇隆,0.07142857142857142
2021-01-01,2241 艾姆勒,0.07142857142857142
2021-01-01,2243 宏旭-KY,0.07142857142857142
2021-01-01,2247 汎德永業,0.07142857142857142
2021-01-01,2497 怡利電,0.07142857142857142
2021-01-01,4581 光隆精密-KY,0.07142857142857142
2021-01-01,6605 帝寶,0.07142857142857142
2020-01-01,1512 瑞利,0.125
2020-01-01,1521 大億,0.125
2020-01-01,1524 耿鼎,0.125
2020-01-01,1525 江申,0.125
2020-01-01,1568 倉佑,0.125
2020-01-01,2201 裕隆,0.125
2020-01-01,2204 中華,0.125
2020-01-01,2227 裕日車,0.125
2019-01-01,1512 瑞利,0.0625
2019-01-01,1521 大億,0.0625
2019-01-01,1525 江申,0.0625
2019-01-01,2201 裕隆,0.0625
2019-01-01,2204 中華,0.0625
2019-01-01,2207 和泰車,0.0625
2019-01-01,2227 裕日車,0.0625
2019-01-01,2231 為升,0.0625
2019-01-01,2233 宇隆,0.0625
2019-01-01,2236 百達-KY,0.0625
2019-01-01,2241 艾姆勒,0.0625
2019-01-01,2243 宏旭-KY,0.0625
2019-01-01,2497 怡利電,0.0625
2019-01-01,4551 智伸科,0.0625
2019-01-01,4557 永新-KY,0.0625
2019-01-01,6605 帝寶,0.0625
2018-01-01,1512 瑞利,0.08333333333333333
2018-01-01,1525 江申,0.08333333333333333
2018-01-01,1536 和大,0.08333333333333333
2018-01-01,1587 吉茂,0.08333333333333333
2018-01-01,2204 中華,0.08333333333333333
2018-01-01,2207 和泰車,0.08333333333333333
2018-01-01,2227 裕日車,0.08333333333333333
2018-01-01,2241 艾姆勒,0.08333333333333333
2018-01-01,2243 宏旭-KY,0.08333333333333333
2018-01-01,2247 汎德永業,0.08333333333333333
2018-01-01,2497 怡利電,0.08333333333333333
2018-01-01,4557 永新-KY,0.08333333333333333
2017-01-01,1524 耿鼎,0.07142857142857142
2017-01-01,1525 江申,0.07142857142857142
2017-01-01,2201 裕隆,0.07142857142857142
2017-01-01,2204 中華,0.07142857142857142
2017-01-01,2207 和泰車,0.07142857142857142
2017-01-01,2227 裕日車,0.07142857142857142
2017-01-01,2228 劍麟,0.07142857142857142
2017-01-01,2231 為升,0.07142857142857142
2017-01-01,2236 百達-KY,0.07142857142857142
2017-01-01,2239 英利-KY,0.07142857142857142
2017-01-01,2241 艾姆勒,0.07142857142857142
2017-01-01,3346 麗清,0.07142857142857142
2017-01-01,4557 永新-KY,0.07142857142857142
2017-01-01,2206 三陽工業,0.07142857142857142
2016-01-01,1521 大億,0.08333333333333333
2016-01-01,1524 耿鼎,0.08333333333333333
2016-01-01,1525 江申,0.08333333333333333
2016-01-01,2201 裕隆,0.08333333333333333
2016-01-01,2204 中華,0.08333333333333333
2016-01-01,2207 和泰車,0.08333333333333333
2016-01-01,2227 裕日車,0.08333333333333333
2016-01-01,2231 為升,0.08333333333333333
2016-01-01,2239 英利-KY,0.08333333333333333
2016-01-01,2497 怡利電,0.08333333333333333
2016-01-01,4551 智伸科,0.08333333333333333
2016-01-01,4557 永新-KY,0.08333333333333333
