time,stock,weight
2024-01-01,2409 友達,0.06666666666666667
2024-01-01,2429 銘旺科,0.06666666666666667
2024-01-01,2438 翔耀,0.06666666666666667
2024-01-01,2491 吉祥全,0.06666666666666667
2024-01-01,3008 大立光,0.06666666666666667
2024-01-01,3049 精金,0.06666666666666667
2024-01-01,3149 正達,0.06666666666666667
2024-01-01,3481 群創,0.06666666666666667
2024-01-01,3576 聯合再生,0.06666666666666667
2024-01-01,3714 富采,0.06666666666666667
2024-01-01,6116 彩晶,0.06666666666666667
2024-01-01,6120 達運,0.06666666666666667
2024-01-01,6225 天瀚,0.06666666666666667
2024-01-01,6405 悅城,0.06666666666666667
2024-01-01,6456 GIS-KY,0.06666666666666667
2023-01-01,2438 翔耀,0.07692307692307693
2023-01-01,2491 吉祥全,0.07692307692307693
2023-01-01,3008 大立光,0.07692307692307693
2023-01-01,3051 力特,0.07692307692307693
2023-01-01,3149 正達,0.07692307692307693
2023-01-01,3481 群創,0.07692307692307693
2023-01-01,5484 慧友,0.07692307692307693
2023-01-01,6116 彩晶,0.07692307692307693
2023-01-01,6120 達運,0.07692307692307693
2023-01-01,6477 安集,0.07692307692307693
2023-01-01,6742 澤米,0.07692307692307693
2023-01-01,8104 錸寶,0.07692307692307693
2023-01-01,6225 天瀚,0.07692307692307693
2022-01-01,2374 佳能,0.04
2022-01-01,2406 國碩,0.04
2022-01-01,2409 友達,0.04
2022-01-01,2429 銘旺科,0.04
2022-01-01,2489 瑞軒,0.04
2022-01-01,3050 鈺德,0.04
2022-01-01,3051 力特,0.04
2022-01-01,3149 正達,0.04
2022-01-01,3168 眾福科,0.04
2022-01-01,3437 榮創,0.04
2022-01-01,3576 聯合再生,0.04
2022-01-01,3673 TPK-KY,0.04
2022-01-01,3714 富采,0.04
2022-01-01,4934 太極,0.04
2022-01-01,4976 佳凌,0.04
2022-01-01,5484 慧友,0.04
2022-01-01,6225 天瀚,0.04
2022-01-01,6278 台表科,0.04
2022-01-01,6405 悅城,0.04
2022-01-01,6456 GIS-KY,0.04
2022-01-01,6477 安集,0.04
2022-01-01,6742 澤米,0.04
2022-01-01,8104 錸寶,0.04
2022-01-01,8105 凌巨,0.04
2022-01-01,2466 冠西電,0.04
2021-01-01,2406 國碩,0.04
2021-01-01,2409 友達,0.04
2021-01-01,2438 翔耀,0.04
2021-01-01,2491 吉祥全,0.04
2021-01-01,3008 大立光,0.04
2021-01-01,3049 精金,0.04
2021-01-01,3051 力特,0.04
2021-01-01,3168 眾福科,0.04
2021-01-01,3406 玉晶光,0.04
