time,stock,weight
2024-01-01,2419 仲琦,0.14285714285714285
2024-01-01,2424 隴華,0.14285714285714285
2024-01-01,2498 宏達電,0.14285714285714285
2024-01-01,3045 台灣大,0.14285714285714285
2024-01-01,6285 啟碁,0.14285714285714285
2024-01-01,8011 台通,0.14285714285714285
2024-01-01,2332 友訊,0.14285714285714285
2023-01-01,2345 智邦,0.14285714285714285
2023-01-01,2412 中華電,0.14285714285714285
2023-01-01,2424 隴華,0.14285714285714285
2023-01-01,2498 宏達電,0.14285714285714285
2023-01-01,3045 台灣大,0.14285714285714285
2023-01-01,4977 眾達-KY,0.14285714285714285
2023-01-01,6142 友勁,0.14285714285714285
2022-01-01,2412 中華電,0.1
2022-01-01,2424 隴華,0.1
2022-01-01,2498 宏達電,0.1
2022-01-01,3045 台灣大,0.1
2022-01-01,3062 建漢,0.1
2022-01-01,3704 合勤控,0.1
2022-01-01,6142 友勁,0.1
2022-01-01,6426 統新,0.1
2022-01-01,6792 詠業,0.1
2022-01-01,8101 華冠,0.1
2021-01-01,2345 智邦,0.08333333333333333
2021-01-01,2424 隴華,0.08333333333333333
2021-01-01,2498 宏達電,0.08333333333333333
2021-01-01,3062 建漢,0.08333333333333333
2021-01-01,3380 明泰,0.08333333333333333
2021-01-01,3596 智易,0.08333333333333333
2021-01-01,3669 圓展,0.08333333333333333
2021-01-01,4904 遠傳,0.08333333333333333
2021-01-01,6136 富爾特,0.08333333333333333
2021-01-01,6285 啟碁,0.08333333333333333
2021-01-01,8101 華冠,0.08333333333333333
2021-01-01,2412 中華電,0.08333333333333333
2020-01-01,2412 中華電,0.25
2020-01-01,2424 隴華,0.25
2020-01-01,3045 台灣大,0.25
2020-01-01,6426 統新,0.25
2019-01-01,2412 中華電,0.1
2019-01-01,2424 隴華,0.1
2019-01-01,2444 兆勁,0.1
2019-01-01,3045 台灣大,0.1
2019-01-01,4904 遠傳,0.1
2019-01-01,6136 富爾特,0.1
2019-01-01,6416 瑞祺電通,0.1
2019-01-01,6426 統新,0.1
2019-01-01,6674 鋐寶科技,0.1
2019-01-01,8101 華冠,0.1
2018-01-01,2345 智邦,0.125
2018-01-01,2412 中華電,0.125
2018-01-01,2424 隴華,0.125
2018-01-01,2439 美律,0.125
2018-01-01,2485 兆赫,0.125
2018-01-01,2498 宏達電,0.125
2018-01-01,3045 台灣大,0.125
2018-01-01,6285 啟碁,0.125
2017-01-01,2412 中華電,0.2
2017-01-01,2424 隴華,0.2
2017-01-01,2498 宏達電,0.2
2017-01-01,3045 台灣大,0.2
2017-01-01,4904 遠傳,0.2
2016-01-01,3045 台灣大,1.0
