time,stock,weight
2024-01-01,4977 眾達-KY,0.14285714285714285
2024-01-01,2455 全新,0.14285714285714285
2024-01-01,2439 美律,0.14285714285714285
2024-01-01,3138 耀登,0.14285714285714285
2024-01-01,3311 閎暉,0.14285714285714285
2024-01-01,6442 光聖,0.14285714285714285
2024-01-01,3047 訊舟,0.14285714285714285
2023-01-01,6674 鋐寶科技,0.14285714285714285
2023-01-01,2444 兆勁,0.14285714285714285
2023-01-01,3694 海華,0.14285714285714285
2023-01-01,2321 東訊,0.14285714285714285
2023-01-01,6152 百一,0.14285714285714285
2023-01-01,2314 台揚,0.14285714285714285
2023-01-01,8011 台通,0.14285714285714285
2022-01-01,3447 展達,0.1
2022-01-01,6442 光聖,0.1
2022-01-01,2455 全新,0.1
2022-01-01,3694 海華,0.1
2022-01-01,3311 閎暉,0.1
2022-01-01,2321 東訊,0.1
2022-01-01,6674 鋐寶科技,0.1
2022-01-01,6152 百一,0.1
2022-01-01,3027 盛達,0.1
2022-01-01,3138 耀登,0.1
2021-01-01,6152 百一,0.08333333333333333
2021-01-01,8011 台通,0.08333333333333333
2021-01-01,2314 台揚,0.08333333333333333
2021-01-01,2321 東訊,0.08333333333333333
2021-01-01,6142 友勁,0.08333333333333333
2021-01-01,3704 合勤控,0.08333333333333333
2021-01-01,2455 全新,0.08333333333333333
2021-01-01,3311 閎暉,0.08333333333333333
2021-01-01,4906 正文,0.08333333333333333
2021-01-01,3047 訊舟,0.08333333333333333
2021-01-01,3138 耀登,0.08333333333333333
2021-01-01,3694 海華,0.08333333333333333
2020-01-01,6442 光聖,0.25
2020-01-01,2444 兆勁,0.25
2020-01-01,3694 海華,0.25
2020-01-01,3027 盛達,0.25
2019-01-01,2439 美律,0.1
2019-01-01,3596 智易,0.1
2019-01-01,4906 正文,0.1
2019-01-01,3704 合勤控,0.1
2019-01-01,2332 友訊,0.1
2019-01-01,3047 訊舟,0.1
2019-01-01,2345 智邦,0.1
2019-01-01,2419 仲琦,0.1
2019-01-01,3669 圓展,0.1
2019-01-01,6285 啟碁,0.1
2018-01-01,6216 居易,0.125
2018-01-01,3669 圓展,0.125
2018-01-01,2455 全新,0.125
2018-01-01,3025 星通,0.125
2018-01-01,3138 耀登,0.125
2018-01-01,2419 仲琦,0.125
2018-01-01,6136 富爾特,0.125
2018-01-01,5388 中磊,0.125
2017-01-01,2314 台揚,0.2
2017-01-01,2321 東訊,0.2
2017-01-01,6152 百一,0.2
2017-01-01,3669 圓展,0.2
2017-01-01,3027 盛達,0.2
2016-01-01,6136 富爾特,1.0
