time,stock,weight
2024-01-01,2453 凌群,0.16666666666666666
2024-01-01,3029 零壹,0.16666666666666666
2024-01-01,6112 邁達特,0.16666666666666666
2024-01-01,2427 三商電,0.16666666666666666
2024-01-01,2468 華經,0.16666666666666666
2024-01-01,2471 資通,0.16666666666666666
2023-01-01,2453 凌群,0.1111111111111111
2023-01-01,2427 三商電,0.1111111111111111
2023-01-01,2468 華經,0.1111111111111111
2023-01-01,2471 資通,0.1111111111111111
2023-01-01,2480 敦陽科,0.1111111111111111
2023-01-01,3029 零壹,0.1111111111111111
2023-01-01,4994 傳奇,0.1111111111111111
2023-01-01,6112 邁達特,0.1111111111111111
2023-01-01,6183 關貿,0.1111111111111111
2022-01-01,2480 敦陽科,0.25
2022-01-01,2427 三商電,0.25
2022-01-01,2453 凌群,0.25
2022-01-01,2468 華經,0.25
2021-01-01,6112 邁達特,0.16666666666666666
2021-01-01,3029 零壹,0.16666666666666666
2021-01-01,2480 敦陽科,0.16666666666666666
2021-01-01,2453 凌群,0.16666666666666666
2021-01-01,2471 資通,0.16666666666666666
2021-01-01,2427 三商電,0.16666666666666666
2020-01-01,3029 零壹,0.125
2020-01-01,2427 三商電,0.125
2020-01-01,2453 凌群,0.125
2020-01-01,2468 華經,0.125
2020-01-01,2471 資通,0.125
2020-01-01,2480 敦陽科,0.125
2020-01-01,5203 訊連,0.125
2020-01-01,6183 關貿,0.125
2019-01-01,2480 敦陽科,0.16666666666666666
2019-01-01,6112 邁達特,0.16666666666666666
2019-01-01,3029 零壹,0.16666666666666666
2019-01-01,2427 三商電,0.16666666666666666
2019-01-01,2453 凌群,0.16666666666666666
2019-01-01,2468 華經,0.16666666666666666
2018-01-01,3029 零壹,0.14285714285714285
2018-01-01,2480 敦陽科,0.14285714285714285
2018-01-01,6112 邁達特,0.14285714285714285
2018-01-01,2453 凌群,0.14285714285714285
2018-01-01,2427 三商電,0.14285714285714285
2018-01-01,2468 華經,0.14285714285714285
2018-01-01,2471 資通,0.14285714285714285
2017-01-01,3029 零壹,0.14285714285714285
2017-01-01,2480 敦陽科,0.14285714285714285
2017-01-01,2453 凌群,0.14285714285714285
2017-01-01,2468 華經,0.14285714285714285
2017-01-01,2471 資通,0.14285714285714285
2017-01-01,4994 傳奇,0.14285714285714285
2017-01-01,5203 訊連,0.14285714285714285
2016-01-01,3029 零壹,0.125
2016-01-01,4994 傳奇,0.125
2016-01-01,2453 凌群,0.125
2016-01-01,2468 華經,0.125
2016-01-01,2471 資通,0.125
2016-01-01,2480 敦陽科,0.125
2016-01-01,5203 訊連,0.125
2016-01-01,6112 邁達特,0.125
