time,stock,weight
2024-01-01,2537 聯上發,0.045454545454545456
2024-01-01,2509 全坤建,0.045454545454545456
2024-01-01,3056 富華新,0.045454545454545456
2024-01-01,5531 鄉林,0.045454545454545456
2024-01-01,2528 皇普,0.045454545454545456
2024-01-01,2534 宏盛,0.045454545454545456
2024-01-01,2504 國產,0.045454545454545456
2024-01-01,3703 欣陸,0.045454545454545456
2024-01-01,2547 日勝生,0.045454545454545456
2024-01-01,6177 達麗,0.045454545454545456
2024-01-01,9946 三發地產,0.045454545454545456
2024-01-01,1316 上曜,0.045454545454545456
2024-01-01,2545 皇翔,0.045454545454545456
2024-01-01,2520 冠德,0.045454545454545456
2024-01-01,1438 三地開發,0.045454545454545456
2024-01-01,5525 順天,0.045454545454545456
2024-01-01,2527 宏璟,0.045454545454545456
2024-01-01,9906 欣巴巴,0.045454545454545456
2024-01-01,2597 潤弘,0.045454545454545456
2024-01-01,2501 國建,0.045454545454545456
2024-01-01,5534 長虹,0.045454545454545456
2024-01-01,2535 達欣工,0.045454545454545456
2023-01-01,2538 基泰,0.045454545454545456
2023-01-01,2545 皇翔,0.045454545454545456
2023-01-01,2534 宏盛,0.045454545454545456
2023-01-01,2442 新美齊,0.045454545454545456
2023-01-01,2540 愛山林,0.045454545454545456
2023-01-01,6177 達麗,0.045454545454545456
2023-01-01,2537 聯上發,0.045454545454545456
2023-01-01,2527 宏璟,0.045454545454545456
2023-01-01,1316 上曜,0.045454545454545456
2023-01-01,2528 皇普,0.045454545454545456
2023-01-01,3052 夆典,0.045454545454545456
2023-01-01,1808 潤隆,0.045454545454545456
2023-01-01,3056 富華新,0.045454545454545456
2023-01-01,3266 昇陽,0.045454545454545456
2023-01-01,2505 國揚,0.045454545454545456
2023-01-01,1439 雋揚,0.045454545454545456
2023-01-01,1436 華友聯,0.045454545454545456
2023-01-01,5525 順天,0.045454545454545456
2023-01-01,5534 長虹,0.045454545454545456
2023-01-01,9946 三發地產,0.045454545454545456
2023-01-01,5519 隆大,0.045454545454545456
2023-01-01,9906 欣巴巴,0.045454545454545456
2022-01-01,5525 順天,0.06666666666666667
2022-01-01,2505 國揚,0.06666666666666667
2022-01-01,3266 昇陽,0.06666666666666667
2022-01-01,5533 皇鼎,0.06666666666666667
2022-01-01,2538 基泰,0.06666666666666667
2022-01-01,2442 新美齊,0.06666666666666667
2022-01-01,5521 工信,0.06666666666666667
2022-01-01,1808 潤隆,0.06666666666666667
2022-01-01,3056 富華新,0.06666666666666667
2022-01-01,2537 聯上發,0.06666666666666667
2022-01-01,5519 隆大,0.06666666666666667
2022-01-01,5531 鄉林,0.06666666666666667
2022-01-01,2540 愛山林,0.06666666666666667
2022-01-01,3052 夆典,0.06666666666666667
2022-01-01,1436 華友聯,0.06666666666666667
2021-01-01,2509 全坤建,0.05555555555555555
2021-01-01,3052 夆典,0.05555555555555555
2021-01-01,5533 皇鼎,0.05555555555555555
2021-01-01,2504 國產,0.05555555555555555
2021-01-01,2527 宏璟,0.05555555555555555
2021-01-01,2537 聯上發,0.05555555555555555
2021-01-01,1436 華友聯,0.05555555555555555
2021-01-01,2442 新美齊,0.05555555555555555
2021-01-01,2501 國建,0.05555555555555555
2021-01-01,3266 昇陽,0.05555555555555555
2021-01-01,1442 名軒,0.05555555555555555
2021-01-01,2540 愛山林,0.05555555555555555
2021-01-01,5519 隆大,0.05555555555555555
2021-01-01,3056 富華新,0.05555555555555555
2021-01-01,5531 鄉林,0.05555555555555555
2021-01-01,1316 上曜,0.05555555555555555
2021-01-01,2597 潤弘,0.05555555555555555
2021-01-01,1808 潤隆,0.05555555555555555
2020-01-01,3052 夆典,0.06666666666666667
2020-01-01,6177 達麗,0.06666666666666667
2020-01-01,2548 華固,0.06666666666666667
2020-01-01,2505 國揚,0.06666666666666667
2020-01-01,9946 三發地產,0.06666666666666667
2020-01-01,5519 隆大,0.06666666666666667
2020-01-01,5521 工信,0.06666666666666667
2020-01-01,3703 欣陸,0.06666666666666667
2020-01-01,2539 櫻花建,0.06666666666666667
2020-01-01,2538 基泰,0.06666666666666667
2020-01-01,3266 昇陽,0.06666666666666667
2020-01-01,3056 富華新,0.06666666666666667
2020-01-01,9906 欣巴巴,0.06666666666666667
2020-01-01,5533 皇鼎,0.06666666666666667
2020-01-01,2540 愛山林,0.06666666666666667
2019-01-01,2538 基泰,0.06666666666666667
2019-01-01,6177 達麗,0.06666666666666667
2019-01-01,2548 華固,0.06666666666666667
2019-01-01,2511 太子,0.06666666666666667
2019-01-01,2524 京城,0.06666666666666667
2019-01-01,1808 潤隆,0.06666666666666667
2019-01-01,5533 皇鼎,0.06666666666666667
2019-01-01,3703 欣陸,0.06666666666666667
2019-01-01,2520 冠德,0.06666666666666667
2019-01-01,2506 太設,0.06666666666666667
2019-01-01,2539 櫻花建,0.06666666666666667
2019-01-01,9946 三發地產,0.06666666666666667
2019-01-01,3266 昇陽,0.06666666666666667
2019-01-01,2515 中工,0.06666666666666667
2019-01-01,1316 上曜,0.06666666666666667
2018-01-01,2506 太設,0.08333333333333333
2018-01-01,2538 基泰,0.08333333333333333
2018-01-01,2509 全坤建,0.08333333333333333
2018-01-01,5525 順天,0.08333333333333333
2018-01-01,2528 皇普,0.08333333333333333
2018-01-01,3056 富華新,0.08333333333333333
2018-01-01,3052 夆典,0.08333333333333333
2018-01-01,1436 華友聯,0.08333333333333333
2018-01-01,2535 達欣工,0.08333333333333333
2018-01-01,9946 三發地產,0.08333333333333333
2018-01-01,2442 新美齊,0.08333333333333333
2018-01-01,1808 潤隆,0.08333333333333333
2017-01-01,6177 達麗,0.125
2017-01-01,2509 全坤建,0.125
2017-01-01,9946 三發地產,0.125
2017-01-01,2505 國揚,0.125
2017-01-01,5525 順天,0.125
2017-01-01,5521 工信,0.125
2017-01-01,5519 隆大,0.125
2017-01-01,2530 華建,0.125
2016-01-01,2538 基泰,0.04
2016-01-01,1808 潤隆,0.04
2016-01-01,2537 聯上發,0.04
2016-01-01,6177 達麗,0.04
2016-01-01,3056 富華新,0.04
2016-01-01,5533 皇鼎,0.04
2016-01-01,5525 順天,0.04
2016-01-01,2539 櫻花建,0.04
2016-01-01,2548 華固,0.04
2016-01-01,2505 國揚,0.04
2016-01-01,2509 全坤建,0.04
2016-01-01,2527 宏璟,0.04
2016-01-01,5534 長虹,0.04
2016-01-01,3052 夆典,0.04
2016-01-01,2535 達欣工,0.04
2016-01-01,2597 潤弘,0.04
2016-01-01,2506 太設,0.04
2016-01-01,2442 新美齊,0.04
2016-01-01,2524 京城,0.04
2016-01-01,5519 隆大,0.04
2016-01-01,2534 宏盛,0.04
2016-01-01,2540 愛山林,0.04
2016-01-01,2545 皇翔,0.04
2016-01-01,5521 工信,0.04
2016-01-01,1436 華友聯,0.04
