time,stock,weight
2024-01-01,3708 上緯投控,0.1
2024-01-01,5292 華懋,0.1
2024-01-01,6581 鋼聯,0.1
2024-01-01,6806 森崴能源,0.1
2024-01-01,6869 雲豹能源,0.1
2024-01-01,8422 可寧衛,0.1
2024-01-01,8438 昶昕,0.1
2024-01-01,8473 山林水,0.1
2024-01-01,9930 中聯資源,0.1
2024-01-01,9955 佳龍,0.1
2023-01-01,3708 上緯投控,0.08333333333333333
2023-01-01,5292 華懋,0.08333333333333333
2023-01-01,6581 鋼聯,0.08333333333333333
2023-01-01,6641 基士德-KY,0.08333333333333333
2023-01-01,6806 森崴能源,0.08333333333333333
2023-01-01,6869 雲豹能源,0.08333333333333333
2023-01-01,8341 日友,0.08333333333333333
2023-01-01,8438 昶昕,0.08333333333333333
2023-01-01,8473 山林水,0.08333333333333333
2023-01-01,8476 台境,0.08333333333333333
2023-01-01,9930 中聯資源,0.08333333333333333
2023-01-01,9955 佳龍,0.08333333333333333
2022-01-01,3708 上緯投控,0.1111111111111111
2022-01-01,6581 鋼聯,0.1111111111111111
2022-01-01,6806 森崴能源,0.1111111111111111
2022-01-01,8341 日友,0.1111111111111111
2022-01-01,8422 可寧衛,0.1111111111111111
2022-01-01,8473 山林水,0.1111111111111111
2022-01-01,8476 台境,0.1111111111111111
2022-01-01,9930 中聯資源,0.1111111111111111
2022-01-01,9955 佳龍,0.1111111111111111
2021-01-01,5292 華懋,0.2
2021-01-01,8341 日友,0.2
2021-01-01,8422 可寧衛,0.2
2021-01-01,8473 山林水,0.2
2021-01-01,9955 佳龍,0.2
2020-01-01,8422 可寧衛,0.2
2020-01-01,8473 山林水,0.2
2020-01-01,8476 台境,0.2
2020-01-01,9955 佳龍,0.2
2020-01-01,9930 中聯資源,0.2
2019-01-01,3708 上緯投控,0.25
2019-01-01,8422 可寧衛,0.25
2019-01-01,8473 山林水,0.25
2019-01-01,8476 台境,0.25
2018-01-01,8341 日友,0.2
2018-01-01,8422 可寧衛,0.2
2018-01-01,8473 山林水,0.2
2018-01-01,9930 中聯資源,0.2
2018-01-01,6581 鋼聯,0.2
2017-01-01,6581 鋼聯,0.14285714285714285
2017-01-01,8341 日友,0.14285714285714285
2017-01-01,8422 可寧衛,0.14285714285714285
2017-01-01,8438 昶昕,0.14285714285714285
2017-01-01,8473 山林水,0.14285714285714285
2017-01-01,9930 中聯資源,0.14285714285714285
2017-01-01,8476 台境,0.14285714285714285
2016-01-01,8341 日友,0.2
2016-01-01,8438 昶昕,0.2
2016-01-01,8476 台境,0.2
2016-01-01,9930 中聯資源,0.2
2016-01-01,9955 佳龍,0.2
