time,stock,weight
2024-01-01,6754 匯僑設計,0.1
2024-01-01,2062 橋椿,0.1
2024-01-01,3557 嘉威,0.1
2024-01-01,6671 三能-KY,0.1
2024-01-01,6807 峰源-KY,0.1
2024-01-01,8464 億豐,0.1
2024-01-01,8482 商億-KY,0.1
2024-01-01,9911 櫻花,0.1
2024-01-01,9924 福興,0.1
2024-01-01,9934 成霖,0.1
2023-01-01,6754 匯僑設計,0.16666666666666666
2023-01-01,9924 福興,0.16666666666666666
2023-01-01,9911 櫻花,0.16666666666666666
2023-01-01,3557 嘉威,0.16666666666666666
2023-01-01,9935 慶豐富,0.16666666666666666
2023-01-01,2062 橋椿,0.16666666666666666
2022-01-01,9935 慶豐富,0.125
2022-01-01,9934 成霖,0.125
2022-01-01,2062 橋椿,0.125
2022-01-01,3557 嘉威,0.125
2022-01-01,6671 三能-KY,0.125
2022-01-01,6754 匯僑設計,0.125
2022-01-01,8464 億豐,0.125
2022-01-01,8482 商億-KY,0.125
2021-01-01,9935 慶豐富,0.14285714285714285
2021-01-01,2062 橋椿,0.14285714285714285
2021-01-01,6671 三能-KY,0.14285714285714285
2021-01-01,8464 億豐,0.14285714285714285
2021-01-01,8482 商億-KY,0.14285714285714285
2021-01-01,9911 櫻花,0.14285714285714285
2021-01-01,9924 福興,0.14285714285714285
2020-01-01,9934 成霖,0.1111111111111111
2020-01-01,2062 橋椿,0.1111111111111111
2020-01-01,3557 嘉威,0.1111111111111111
2020-01-01,6671 三能-KY,0.1111111111111111
2020-01-01,6754 匯僑設計,0.1111111111111111
2020-01-01,8464 億豐,0.1111111111111111
2020-01-01,8482 商億-KY,0.1111111111111111
2020-01-01,9911 櫻花,0.1111111111111111
2020-01-01,9924 福興,0.1111111111111111
2019-01-01,9924 福興,0.14285714285714285
2019-01-01,2062 橋椿,0.14285714285714285
2019-01-01,3557 嘉威,0.14285714285714285
2019-01-01,6671 三能-KY,0.14285714285714285
2019-01-01,8464 億豐,0.14285714285714285
2019-01-01,8482 商億-KY,0.14285714285714285
2019-01-01,9911 櫻花,0.14285714285714285
2018-01-01,9911 櫻花,0.3333333333333333
2018-01-01,9924 福興,0.3333333333333333
2018-01-01,9935 慶豐富,0.3333333333333333
2017-01-01,9924 福興,0.2
2017-01-01,2062 橋椿,0.2
2017-01-01,3557 嘉威,0.2
2017-01-01,8464 億豐,0.2
2017-01-01,9911 櫻花,0.2
2016-01-01,9934 成霖,0.2
2016-01-01,2062 橋椿,0.2
2016-01-01,3557 嘉威,0.2
2016-01-01,8464 億豐,0.2
2016-01-01,9911 櫻花,0.2
