time,stock,weight
2024-01-01,2616 山隆,0.16666666666666666
2024-01-01,8926 台汽電,0.16666666666666666
2024-01-01,9908 大台北,0.16666666666666666
2024-01-01,9918 欣天然,0.16666666666666666
2024-01-01,9931 欣高,0.16666666666666666
2024-01-01,9937 全國,0.16666666666666666
2023-01-01,2616 山隆,0.2
2023-01-01,6505 台塑化,0.2
2023-01-01,8926 台汽電,0.2
2023-01-01,9918 欣天然,0.2
2023-01-01,9937 全國,0.2
2022-01-01,6505 台塑化,0.25
2022-01-01,8926 台汽電,0.25
2022-01-01,9918 欣天然,0.25
2022-01-01,9937 全國,0.25
2021-01-01,2616 山隆,0.2
2021-01-01,6505 台塑化,0.2
2021-01-01,8926 台汽電,0.2
2021-01-01,9931 欣高,0.2
2021-01-01,9937 全國,0.2
2020-01-01,6505 台塑化,0.16666666666666666
2020-01-01,8926 台汽電,0.16666666666666666
2020-01-01,9918 欣天然,0.16666666666666666
2020-01-01,9926 新海,0.16666666666666666
2020-01-01,9937 全國,0.16666666666666666
2020-01-01,9931 欣高,0.16666666666666666
2019-01-01,2616 山隆,0.2
2019-01-01,6505 台塑化,0.2
2019-01-01,8926 台汽電,0.2
2019-01-01,9931 欣高,0.2
2019-01-01,9937 全國,0.2
2018-01-01,2616 山隆,0.25
2018-01-01,6505 台塑化,0.25
2018-01-01,8926 台汽電,0.25
2018-01-01,9926 新海,0.25
2017-01-01,2616 山隆,0.2
2017-01-01,6505 台塑化,0.2
2017-01-01,8926 台汽電,0.2
2017-01-01,9931 欣高,0.2
2017-01-01,9937 全國,0.2
2016-01-01,2616 山隆,0.2
2016-01-01,6505 台塑化,0.2
2016-01-01,8926 台汽電,0.2
2016-01-01,9931 欣高,0.2
2016-01-01,9937 全國,0.2
